NAME;CITY;ID NUMBER;GENDER;SOCIAL STATUS;AGE;EDUCATION LEVEL;NEWS TYPE;FAKE NEWS SHARED THIS MONTH
Willodean Stracke;Cartagena;818-72-2506;M;5;37;Profesional;Economica,Cientifica;4
Filomena Ruecker;Santa Marta;446-59-6279;F;2;54;Tecnico;Economica,Cientifica,Politica;1
Agnes Hoppe;Santa Marta;355-99-0104;F;1;38;Profesional especializacion/master;Politica,Economica;5
Lyman Kemmer;Santa Marta;724-18-5313;F;2;24;Tecnico;Politica,Farandula;5
Sandy Robel;Santa Marta;313-73-0992;M;2;32;Profesional;Farandula;6
Mikaela Jast;Cartagena;451-54-5109;M;6;17;Tecnico;Cientifica,Economica,Politica;1
Rosendo Hoeger;Barranquilla;215-74-1690;M;3;16;Tecnico;Economica,Politica;1
Buster Schmeler II;Barranquilla;141-86-7482;F;5;31;Profesional;Farandula,Politica,Economica;6
Lael Vandervort JD;Cartagena;015-84-8126;M;6;28;Profesional especializacion/master;Cientifica,Farandula,Politica;5
Jc Fisher;Barranquilla;191-22-7742;F;3;45;Profesional;Farandula;4
Natasha Grimes;Cartagena;408-45-8262;M;5;41;Profesional;Farandula,Politica,Economica;4
Sen. Kai Marquardt;Santa Marta;586-77-0288;F;1;44;Profesional;Economica;4
Claudine Pacocha;Barranquilla;072-19-7404;M;6;25;Profesional;Farandula,Politica,Cientifica,Economica;4
Amb. Wenona Shanahan;Barranquilla;178-62-7151;M;4;45;Tecnico;Economica;5
Eddie Jenkins;Barranquilla;703-62-8012;F;4;42;Profesional doctorado;Politica,Cientifica,Economica;6
Donetta Crist;Barranquilla;023-57-8813;F;2;43;Tecnico;Economica,Farandula;4
Clemente Veum;Barranquilla;087-09-7779;M;2;21;Profesional;;0
Whitley Cronin;Barranquilla;020-02-8773;F;6;44;Profesional;Politica,Economica,Farandula;5
Genny Vandervort;Barranquilla;858-30-2177;M;1;37;Tecnico;Cientifica;5
Christie Okuneva;Cartagena;240-76-7435;M;5;20;Tecnico;;0
Rochell Harvey;Santa Marta;124-63-2497;M;4;37;Tecnico;Economica,Politica;6
Edmundo Stoltenberg;Santa Marta;124-32-7464;F;1;43;Tecnico;Politica,Farandula,Cientifica;4
Prof. India Walker;Santa Marta;853-94-3149;F;4;22;Tecnico;Politica,Economica;4
Isidro Will;Santa Marta;139-64-2232;F;5;21;Tecnico;Economica;1
Alida Lindgren Esq.;Santa Marta;543-65-4424;F;2;42;Profesional;Politica,Economica,Farandula,Cientifica;5
Art Legros;Barranquilla;688-24-1526;M;5;17;Profesional;;0
Perry Mante;Barranquilla;896-09-2728;M;6;40;Profesional;Economica,Farandula;4
Mitch Smith;Cartagena;138-98-2328;M;5;44;Profesional doctorado;Farandula,Cientifica;4
Shawanna Gutmann;Santa Marta;327-33-7495;F;3;56;Profesional;Cientifica,Politica,Economica;1
Josie O'Kon;Cartagena;008-99-0147;M;1;51;Profesional;Cientifica,Farandula,Economica;1
Murray Waelchi;Santa Marta;400-51-8960;M;4;19;Tecnico;Politica,Cientifica,Farandula,Economica;1
Cary Simonis;Santa Marta;765-51-1682;M;5;34;Profesional;Farandula,Politica;5
Lisette McClure;Santa Marta;322-21-7778;M;3;17;Profesional;Cientifica,Politica,Farandula;1
Lisa Kerluke DO;Santa Marta;761-01-4004;M;1;48;Profesional doctorado;;0
Horace Wunsch;Barranquilla;448-70-3255;F;4;14;Colegio;;0
Willene Connelly;Barranquilla;816-13-7966;F;4;18;Tecnico;Politica,Economica,Cientifica,Farandula;1
Evangeline Schoen;Santa Marta;425-50-0212;M;1;42;Profesional especializacion/master;Politica,Cientifica;5
Noel Mante;Barranquilla;813-33-8595;F;1;59;Tecnico;;0
Lianne Jenkins MD;Cartagena;542-54-1174;F;3;24;Tecnico;Economica,Cientifica,Politica,Farandula;5
Tonita Will;Santa Marta;390-13-2270;F;4;58;Profesional;Economica,Politica,Farandula,Cientifica;1
Elijah Sauer;Cartagena;813-89-7403;M;5;37;Tecnico;Politica,Economica,Farandula;5
Rep. Melonie Willms;Barranquilla;717-88-0469;M;5;24;Profesional;Farandula,Cientifica,Politica;6
Deidra Dibbert;Santa Marta;748-07-4250;M;2;53;Profesional especializacion/master;;0
Byron Zemlak;Santa Marta;386-30-3600;F;3;57;Tecnico;;0
Winfred Abshire;Barranquilla;675-97-2361;F;1;20;Tecnico;;0
Vance Heathcote;Barranquilla;191-49-1837;M;5;33;Tecnico;Economica;4
Rev. Ashlea Ritchie;Cartagena;868-84-3052;M;5;21;Profesional;;0
Harvey Rice;Cartagena;577-65-8031;F;2;42;Tecnico;Farandula,Economica,Cientifica;6
Garry Wehner;Cartagena;504-09-8455;M;1;22;Tecnico;Farandula,Cientifica;5
Mr. Muriel Zemlak;Santa Marta;565-37-9579;F;1;24;Profesional;Cientifica,Politica;5
Christopher Bode;Santa Marta;823-61-2143;M;2;41;Tecnico;Cientifica,Farandula,Politica;5
Rossie Moore;Barranquilla;739-45-0377;F;2;41;Profesional especializacion/master;Economica,Cientifica;5
Luciano Hintz;Santa Marta;842-86-7615;M;2;45;Tecnico;Farandula,Economica;5
Celestine Abbott;Santa Marta;890-11-9777;F;4;14;Colegio;Cientifica;1
Fr. Sherice Hauck;Barranquilla;307-32-2594;M;1;22;Profesional;Cientifica;6
Miss Gertrude Rath;Barranquilla;278-75-8029;F;3;54;Tecnico;Politica,Cientifica,Economica,Farandula;1
Wilda Little;Cartagena;510-08-9076;M;1;36;Profesional;Farandula,Cientifica,Politica;5
Ms. Gustavo Gulgowski;Barranquilla;732-99-3824;F;2;33;Profesional;Economica,Farandula,Politica,Cientifica;4
Kaitlyn Feil;Cartagena;013-46-0035;M;5;47;Profesional;;0
Tyler Metz;Santa Marta;800-98-9145;M;5;22;Profesional;Economica,Farandula;5
Rodrick Kihn DDS;Cartagena;155-16-7453;M;4;54;Tecnico;Politica,Cientifica,Economica;1
Emelina Wiza;Cartagena;681-21-1002;F;1;31;Profesional doctorado;Farandula,Economica,Cientifica,Politica;6
Krishna Friesen;Barranquilla;079-27-0824;F;6;57;Profesional especializacion/master;Farandula,Economica;1
Michal Gusikowski DC;Barranquilla;273-89-3800;M;5;43;Tecnico;Farandula;4
Jeramy Koepp;Cartagena;075-52-7365;F;3;39;Tecnico;Farandula,Politica;6
Nathan Powlowski;Santa Marta;213-37-9327;F;4;41;Profesional;Politica,Farandula,Economica;6
Mr. Ione Kuhn;Cartagena;081-26-9297;M;6;39;Profesional;Farandula,Economica;5
Pres. Henry Price;Cartagena;516-36-6364;F;2;24;Profesional;Economica;5
Miss Jim Rodriguez;Cartagena;312-28-6661;M;4;14;Colegio;;0
Rep. Stacy Marks;Cartagena;557-10-2184;M;5;47;Tecnico;;0
Alyssa Cremin;Santa Marta;628-68-0937;M;6;41;Profesional especializacion/master;Politica;6
Hope Stark DO;Santa Marta;247-42-4379;M;6;20;Tecnico;;0
Shirley Jast;Cartagena;559-35-2302;M;2;41;Tecnico;Economica,Farandula,Cientifica,Politica;4
Connie Parisian;Barranquilla;436-68-9514;M;6;37;Profesional;Farandula,Politica;5
Norris Russel;Barranquilla;449-86-9590;M;4;15;Colegio;Politica,Cientifica;1
Roni Jacobi;Santa Marta;024-87-3876;M;1;20;Tecnico;Politica,Farandula,Cientifica;1
Stacy Kovacek;Barranquilla;589-84-3233;M;6;56;Tecnico;;0
Hector Ortiz;Barranquilla;161-01-9725;M;3;34;Profesional especializacion/master;Farandula,Economica,Politica,Cientifica;6
Bryan Mertz;Barranquilla;141-51-5769;M;6;42;Tecnico;Politica;4
Nelia Moen;Cartagena;113-67-1531;F;4;46;Profesional especializacion/master;;0
Angelique Wisozk DO;Cartagena;064-78-5860;M;2;29;Profesional;Politica,Cientifica;4
Pa Kuhic;Cartagena;244-71-3113;M;5;27;Tecnico;Economica,Cientifica,Farandula;4
Sabine Jakubowski;Cartagena;200-19-4999;M;4;18;Tecnico;Cientifica;1
Desmond Romaguera;Cartagena;097-56-6504;M;4;31;Profesional;Politica,Economica;5
Rev. Cornell Collins;Cartagena;163-67-2029;F;5;54;Profesional doctorado;;0
Rev. Lekisha Lockman;Barranquilla;507-69-8793;F;1;39;Tecnico;Farandula;4
Vivienne Hartmann;Barranquilla;251-72-9692;F;2;31;Profesional;Economica,Farandula,Politica,Cientifica;5
Ezra Goyette;Barranquilla;290-15-4194;F;2;58;Profesional;;0
Shannon Abshire VM;Santa Marta;811-44-8365;M;2;14;Colegio;Politica;1
Dane Reichert;Santa Marta;720-66-4705;M;6;38;Profesional;Politica,Economica,Cientifica;5
Darrel Mante;Barranquilla;238-29-8959;M;5;39;Tecnico;Farandula,Economica;4
Ghislaine Murray;Barranquilla;729-04-4445;M;2;54;Profesional;Politica,Cientifica,Economica;1
Darcel Fahey;Cartagena;093-21-5594;M;2;48;Tecnico;Cientifica,Politica,Farandula;1
Judith Predovic PhD;Cartagena;403-29-2782;M;4;29;Profesional;Politica,Farandula;5
Priscilla Satterfield;Santa Marta;695-69-2002;M;2;35;Profesional;Farandula,Politica,Cientifica;6
Masako Lakin;Cartagena;369-16-5442;F;1;29;Profesional;Cientifica;5
Kenia Batz;Cartagena;020-39-5662;F;4;32;Tecnico;Farandula,Economica;5
Vernia Effertz;Barranquilla;270-96-0878;M;1;27;Profesional especializacion/master;Politica,Farandula;5
Dennis Cormier Ret.;Santa Marta;758-27-0057;M;5;39;Tecnico;Farandula,Politica,Cientifica,Economica;5
Brooks Aufderhar;Cartagena;095-50-4286;F;4;19;Tecnico;;0
Ellis Heathcote;Barranquilla;725-65-9441;M;1;18;Tecnico;Cientifica;1
Abigail Hauck;Santa Marta;765-13-9604;M;5;22;Profesional;Cientifica,Economica,Farandula,Politica;5
Sylvie Legros;Santa Marta;015-95-4449;F;6;60;Profesional doctorado;Cientifica;1
Roseann Kiehn;Barranquilla;342-58-7910;F;5;41;Profesional;Cientifica;5
Kim McLaughlin IV;Santa Marta;716-54-5243;F;5;20;Profesional;Farandula,Politica;1
Rep. Lauren Jast;Santa Marta;572-27-0913;M;3;52;Tecnico;Farandula;1
Ronald Gulgowski I;Santa Marta;542-60-6036;F;3;39;Profesional doctorado;Economica;6
Lianne Pfeffer;Santa Marta;008-68-2068;F;3;48;Tecnico;Economica,Politica,Farandula,Cientifica;1
Bruno Stark;Cartagena;562-73-5674;M;5;36;Profesional doctorado;Farandula;5
Teodoro Crist III;Santa Marta;345-58-5842;F;4;42;Tecnico;Farandula;5
Malcom Bogisich;Barranquilla;593-91-9772;F;4;55;Profesional doctorado;Cientifica,Politica,Farandula,Economica;1
Jose Dicki;Cartagena;023-53-4651;F;6;17;Profesional;;0
Raul Rau;Barranquilla;708-84-5928;M;1;17;Tecnico;;0
Mr. Sherlyn Feest;Barranquilla;655-74-1709;F;2;46;Profesional;Economica,Politica;1
Terry Bradtke V;Santa Marta;882-36-1904;M;5;39;Profesional;Cientifica,Politica,Farandula;4
Prof. Curt Smitham;Cartagena;259-46-1605;F;3;57;Tecnico;;0
Douglas Feil;Barranquilla;100-33-2518;M;4;42;Profesional especializacion/master;Cientifica,Farandula,Politica,Economica;6
Bryant Hodkiewicz III;Cartagena;091-85-7847;M;5;23;Profesional;Cientifica,Politica;6
Dannie Auer JD;Santa Marta;590-99-0149;F;2;24;Profesional;Cientifica,Farandula,Politica,Economica;6
Tinisha Kuhic;Barranquilla;120-13-4340;F;2;30;Profesional;Cientifica,Farandula,Economica;6
Lyndia McClure;Santa Marta;668-22-7717;F;1;43;Profesional;Politica,Cientifica;6
Lonnie Grimes;Santa Marta;664-88-2115;F;4;26;Profesional;Cientifica;5
Rufus Schiller;Cartagena;461-59-3998;M;6;51;Profesional;;0
Rita McDermott;Barranquilla;409-02-0461;F;3;20;Profesional;;0
Ammie Hoeger I;Santa Marta;710-95-5334;M;6;29;Tecnico;Politica,Cientifica,Economica;5
Hilario Waters;Barranquilla;662-60-1378;F;6;27;Tecnico;Politica,Cientifica;4
Ahmad Keeling;Barranquilla;559-86-0981;M;1;16;Profesional;Cientifica;1
Theodora Bode IV;Cartagena;071-58-1658;F;1;59;Tecnico;;0
Tracy Spencer;Cartagena;428-12-7232;M;2;15;Colegio;;0
Lauretta Senger;Barranquilla;751-70-3191;M;3;28;Tecnico;Politica,Cientifica,Economica,Farandula;4
Colby Jacobi;Santa Marta;780-12-9324;M;4;42;Profesional;Cientifica,Politica;6
Edward Gutkowski;Cartagena;744-68-8467;F;6;15;Colegio;Cientifica,Politica,Economica;1
Fernando Veum;Barranquilla;669-60-4796;M;3;25;Profesional;Politica,Cientifica,Economica;6
Clorinda Dietrich Ret.;Santa Marta;884-21-9039;M;2;43;Tecnico;Cientifica,Economica,Politica;6
Msgr. Jesse Gislason;Cartagena;288-64-9763;M;5;22;Tecnico;Farandula,Politica,Economica,Cientifica;5
Leonel Feil;Cartagena;681-30-1755;F;3;41;Profesional;Cientifica;5
Merlin Waters;Cartagena;565-09-1806;M;1;14;Colegio;;0
Emmanuel Orn;Santa Marta;096-42-9469;F;3;39;Profesional;Cientifica;6
Bennett Zulauf;Cartagena;629-28-2572;M;4;18;Profesional;Economica;1
Milford Bayer VM;Cartagena;831-96-1039;M;5;32;Profesional;Politica,Economica,Cientifica,Farandula;5
Jim Lesch;Santa Marta;102-63-4664;M;1;17;Tecnico;Politica,Cientifica,Farandula,Economica;1
Tyree Schimmel;Santa Marta;468-83-4522;M;4;51;Tecnico;Economica,Cientifica;1
Roseanne Weber;Cartagena;658-18-8119;F;4;17;Profesional;;0
Richard Marvin;Santa Marta;041-95-8953;M;6;21;Tecnico;Economica,Farandula,Cientifica,Politica;1
Rhonda Mueller DVM;Santa Marta;021-14-4471;F;2;17;Tecnico;;0
Lindsey Paucek;Barranquilla;045-43-6058;F;6;53;Profesional;Economica,Farandula,Cientifica,Politica;1
Kecia Stamm Ret.;Cartagena;875-09-2019;M;6;26;Profesional;Politica,Economica,Farandula,Cientifica;5
Granville Ratke;Barranquilla;765-48-1131;F;1;35;Profesional doctorado;Economica,Politica;4
Arlene Lowe;Santa Marta;117-64-6397;F;5;18;Tecnico;;0
Donette Beahan PhD;Santa Marta;769-11-0890;F;1;46;Tecnico;Economica;1
Rolland Veum Sr.;Santa Marta;002-09-1773;F;5;38;Tecnico;Cientifica,Economica,Politica;5
Michell Turcotte;Cartagena;285-62-9900;F;5;48;Profesional doctorado;;0
Logan Koss;Cartagena;073-98-9239;F;6;54;Profesional;;0
The Hon. Shoshana Welch;Santa Marta;178-73-3831;M;3;57;Profesional;;0
Maryanna Fisher;Barranquilla;258-61-1009;F;2;39;Tecnico;Economica,Cientifica,Farandula,Politica;6
Dr. Felton Dibbert;Santa Marta;217-30-7365;F;5;14;Colegio;Farandula,Cientifica;1
Morgan Leuschke;Cartagena;722-78-9223;F;5;17;Tecnico;;0
Aurelio Johns;Santa Marta;857-17-3234;M;2;38;Tecnico;Cientifica;5
Pamelia Smith I;Cartagena;221-69-9932;M;4;26;Profesional;Farandula;6
James Barton JD;Barranquilla;329-94-5896;F;4;42;Profesional;Farandula,Politica,Cientifica;6
Dr. Zachery Ferry;Santa Marta;715-42-4580;M;3;52;Tecnico;;0
Maurita Beer;Cartagena;210-48-7346;F;1;43;Tecnico;Politica;4
Douglass Boyle;Barranquilla;723-82-1131;F;1;56;Tecnico;;0
Terrance Kihn;Barranquilla;510-87-1056;M;3;28;Profesional especializacion/master;Farandula,Cientifica;6
Joleen Langworth III;Santa Marta;737-11-7276;M;1;46;Tecnico;;0
Omer Pacocha;Santa Marta;279-85-0914;M;3;38;Profesional;Economica,Cientifica,Farandula;5
Terrell Schroeder;Cartagena;299-39-6061;F;1;60;Profesional especializacion/master;Cientifica,Politica,Economica;1
Faustino Kilback;Cartagena;830-82-0069;F;6;31;Tecnico;Cientifica,Farandula,Economica,Politica;5
Carson Lakin DDS;Barranquilla;382-21-1007;F;5;14;Colegio;;0
Neal Buckridge;Cartagena;826-63-9317;F;5;45;Profesional especializacion/master;Economica,Politica,Farandula,Cientifica;4
Msgr. Horace Mayer;Barranquilla;811-21-5383;F;4;26;Tecnico;Politica,Farandula;6
Luigi Reichel;Cartagena;821-99-6491;F;1;15;Colegio;Politica,Farandula,Economica,Cientifica;1
Roni Gibson;Barranquilla;636-17-8910;F;5;14;Colegio;;0
Sadie Lowe II;Cartagena;141-03-6972;M;5;28;Profesional;Economica;4
Ms. Celeste Doyle;Cartagena;557-65-1351;F;6;15;Colegio;Politica;1
Lou Schmidt;Santa Marta;744-03-9399;M;5;20;Profesional;Cientifica,Farandula,Economica,Politica;1
Lacy Hickle PhD;Barranquilla;659-88-7805;F;5;41;Tecnico;Farandula,Politica,Economica;6
Karine Buckridge;Santa Marta;792-71-9909;M;1;23;Profesional;Politica,Cientifica,Economica;4
Prof. Paris Prosacco;Cartagena;864-36-5909;M;2;20;Profesional;;0
Pres. Horace Hamill;Barranquilla;613-14-6796;M;5;23;Tecnico;Cientifica,Politica,Farandula;6
Fr. Emmett Skiles;Barranquilla;645-42-6706;M;2;29;Profesional especializacion/master;Economica;6
Sen. Freddie Abshire;Cartagena;467-97-2867;F;3;21;Tecnico;Cientifica,Politica,Farandula,Economica;1
Carson Marquardt;Santa Marta;043-70-8993;M;1;15;Colegio;;0
Selena Schmitt;Cartagena;836-20-4491;M;2;41;Tecnico;Cientifica,Farandula,Economica;5
Ernest Kerluke PhD;Cartagena;535-59-2591;M;3;23;Tecnico;Politica;4
Lela Mraz;Cartagena;738-82-7001;F;5;40;Tecnico;Economica,Cientifica,Politica,Farandula;5
Lottie Emard;Santa Marta;418-59-5253;F;3;26;Tecnico;Farandula,Politica;4
Cammy Swift;Cartagena;768-07-7747;F;3;41;Tecnico;Politica,Cientifica,Farandula,Economica;5
Gil Mohr;Cartagena;100-77-7437;F;2;43;Profesional;Economica,Farandula,Politica,Cientifica;6
Librada Runte;Santa Marta;425-90-5689;M;5;20;Profesional;;0
Cortez Casper;Barranquilla;367-64-6611;F;3;37;Profesional;Cientifica,Politica,Farandula;5
Guillermo Welch PhD;Barranquilla;434-16-0456;F;2;44;Profesional;Economica,Politica,Cientifica;5
Dong Fisher;Cartagena;110-68-0388;M;4;50;Tecnico;;0
The Hon. Sook Cronin;Cartagena;460-09-2140;M;5;35;Tecnico;Politica,Economica,Cientifica;4
Paul Doyle;Barranquilla;022-44-5250;F;2;14;Colegio;;0
Mathew Boehm;Cartagena;292-46-7773;M;6;18;Tecnico;;0
Hosea Collier;Barranquilla;798-68-2341;M;3;60;Profesional;Farandula;1
Leigh Brown;Santa Marta;640-06-1417;F;4;38;Tecnico;Cientifica,Economica;4
Dr. Adriane Miller;Cartagena;010-64-5280;M;5;15;Colegio;Economica,Cientifica,Politica;1
Gov. Wally Steuber;Santa Marta;566-51-6693;F;5;19;Profesional;Politica,Cientifica,Economica,Farandula;1
Sydney Cummings II;Cartagena;744-97-3944;F;3;36;Profesional;Cientifica,Politica,Economica;4
Walter Schmitt;Santa Marta;273-33-4836;F;5;36;Profesional especializacion/master;Cientifica,Economica;4
Ahmad Miller;Barranquilla;248-27-5951;F;6;15;Colegio;Cientifica,Farandula,Politica,Economica;1
Rolland Littel;Barranquilla;047-76-6920;F;6;44;Profesional especializacion/master;Cientifica;4
Francisco Wiza;Cartagena;132-49-7074;M;3;40;Tecnico;Farandula,Economica,Cientifica,Politica;4
Wesley Orn;Barranquilla;321-52-5510;F;1;30;Profesional especializacion/master;Cientifica;4
Kari Corkery DC;Barranquilla;537-83-9459;M;6;15;Colegio;Farandula,Cientifica,Economica,Politica;1
Ross Nicolas;Cartagena;891-93-5642;M;5;33;Tecnico;Economica,Politica;5
Miriam Gutkowski;Cartagena;748-52-1146;M;1;19;Profesional;;0
Loyce Boehm;Barranquilla;074-54-2349;M;5;17;Tecnico;Economica,Farandula,Cientifica;1
Merrill O'Hara;Barranquilla;533-71-9465;F;2;41;Tecnico;Economica,Farandula,Politica,Cientifica;5
Fernando Johnson;Barranquilla;834-68-2542;M;1;16;Profesional;Farandula,Politica,Cientifica;1
Kristyn Kuhlman;Barranquilla;075-29-1766;M;3;40;Profesional;Economica;4
Shanell Hansen;Barranquilla;273-56-5973;M;3;30;Profesional;Economica,Politica;4
Stevie Krajcik;Santa Marta;073-08-6149;F;2;38;Profesional;Farandula,Cientifica,Politica,Economica;6
Rep. Valery Kautzer;Cartagena;239-23-5576;F;2;38;Tecnico;Politica,Farandula,Economica;5
Jarred Dickens;Santa Marta;142-78-7015;F;6;49;Tecnico;Economica,Politica,Cientifica,Farandula;1
Fredrick Brown MD;Barranquilla;554-70-2967;F;3;24;Profesional;Politica,Farandula;6
Jesse McKenzie DO;Santa Marta;638-36-5151;F;6;50;Profesional especializacion/master;;0
Tomiko Ferry;Santa Marta;681-82-4029;F;2;37;Tecnico;Cientifica,Politica,Economica;5
Stephan Koch;Barranquilla;883-76-7935;F;5;21;Profesional;Farandula;1
Nathanial Lehner;Santa Marta;443-51-0580;F;5;18;Tecnico;;0
Lacy Reichel;Santa Marta;196-54-7398;M;1;27;Profesional;Economica,Cientifica,Politica;6
Stephani Haag;Santa Marta;394-57-4500;M;4;38;Tecnico;Politica,Economica,Farandula,Cientifica;6
Aurelio Weber;Barranquilla;724-95-3414;F;3;48;Profesional especializacion/master;Politica;1
Ronni Windler Jr.;Cartagena;675-60-4635;M;4;41;Tecnico;Economica;6
Donovan Kihn;Barranquilla;760-20-5978;M;3;36;Profesional;Farandula,Cientifica,Economica,Politica;5
Shena Daniel;Santa Marta;545-24-0822;M;2;33;Profesional doctorado;Cientifica,Politica,Farandula,Economica;6
Sergio Jones;Cartagena;010-96-7513;F;4;36;Tecnico;Economica,Cientifica,Farandula,Politica;5
Denese Turcotte;Cartagena;551-48-5144;M;3;60;Profesional especializacion/master;Cientifica,Economica;1
Kris Kulas;Barranquilla;039-43-2745;M;5;15;Colegio;;0
Sheldon Waelchi;Cartagena;151-73-7197;F;6;18;Tecnico;;0
Sonny Stamm;Barranquilla;147-69-7913;F;4;50;Tecnico;Politica,Cientifica,Economica,Farandula;1
Sunni Rosenbaum;Santa Marta;285-35-1366;M;5;17;Profesional;Economica,Cientifica;1
Mathew Little;Santa Marta;384-27-9527;M;6;50;Profesional doctorado;Economica,Politica;1
Clemente Bogan DO;Santa Marta;136-39-8780;F;4;28;Profesional especializacion/master;Economica,Farandula,Cientifica;4
Jeffery Hoeger;Santa Marta;417-16-3428;F;1;39;Tecnico;Economica;6
The Hon. Rufina Trantow;Santa Marta;798-50-6751;F;6;19;Profesional;Politica,Farandula,Cientifica;1
Macie Gottlieb;Cartagena;786-18-3371;F;1;17;Profesional;;0
Pres. Darron Schultz;Barranquilla;758-27-5834;M;6;49;Profesional;;0
Jimmie Dibbert;Cartagena;879-12-5037;M;1;40;Tecnico;Farandula,Economica,Cientifica;4
Dr. Taylor Gislason;Santa Marta;172-22-4414;M;6;53;Profesional;;0
Ester Kerluke;Santa Marta;256-98-7575;F;3;14;Colegio;Economica,Cientifica,Politica,Farandula;1
Sung Olson;Barranquilla;310-74-7727;F;6;14;Colegio;Politica,Cientifica,Economica,Farandula;1
Burl Thiel;Santa Marta;890-52-7096;F;3;59;Profesional;;0
Rob Schmidt;Barranquilla;672-60-6568;M;6;14;Colegio;;0
Moises Hane;Cartagena;636-90-0415;F;2;27;Tecnico;Economica,Politica,Cientifica,Farandula;6
Ezequiel White;Barranquilla;781-13-6968;M;3;19;Tecnico;;0
Stormy Lueilwitz DC;Santa Marta;408-40-4859;F;6;34;Tecnico;Politica,Cientifica,Farandula;6
Tommie Wisozk;Barranquilla;386-55-5702;M;5;45;Tecnico;Farandula;4
Manual Runolfsson LLD;Cartagena;501-31-2187;F;3;43;Profesional;Farandula,Economica,Cientifica,Politica;4
Magaret Oberbrunner JD;Cartagena;481-16-3003;M;3;27;Profesional especializacion/master;Politica;6
Dante Botsford;Santa Marta;823-95-2812;F;1;49;Tecnico;;0
Tonda Tremblay;Barranquilla;811-45-3168;F;4;29;Profesional;Economica,Cientifica,Farandula,Politica;5
Lavette Howe;Barranquilla;499-80-6355;F;2;21;Tecnico;;0
Dong Waters;Barranquilla;480-23-9810;M;1;58;Profesional;;0
Gilbert Davis DO;Cartagena;179-66-8419;F;4;20;Profesional;Politica,Economica;1
Mrs. Virgina Ullrich;Barranquilla;228-23-4749;F;4;43;Profesional especializacion/master;Economica,Politica;5
Eve Hayes I;Cartagena;598-01-6206;M;3;15;Colegio;Politica;1
Francis Fritsch DC;Santa Marta;771-91-3947;F;5;31;Profesional especializacion/master;Farandula;4
Yuk Murphy;Barranquilla;153-77-3723;F;4;18;Profesional;;0
Flor Sawayn;Barranquilla;182-92-9276;F;1;38;Profesional especializacion/master;Farandula;4
Hortensia Predovic;Barranquilla;396-58-1174;M;1;46;Profesional doctorado;Farandula;1
Kelsey Gutkowski;Cartagena;545-60-7159;M;4;16;Tecnico;Politica;1
Van Conn;Cartagena;090-08-5567;M;6;26;Tecnico;Farandula;4
Samuel Deckow;Barranquilla;105-75-6786;F;1;28;Tecnico;Cientifica,Economica,Politica;6
Clement Reynolds Esq.;Santa Marta;209-89-5666;F;2;51;Tecnico;Farandula;1
Cher Kshlerin;Cartagena;856-89-8206;M;6;16;Profesional;Cientifica,Economica;1
Isidra Paucek VM;Santa Marta;739-01-1194;M;4;27;Tecnico;Cientifica;5
Gene Littel;Barranquilla;355-89-5507;M;3;28;Tecnico;Economica,Cientifica,Politica;4
Pattie Wisoky II;Barranquilla;082-89-1597;F;1;19;Tecnico;;0
Lennie Smith;Barranquilla;887-63-9972;F;2;24;Profesional;Economica,Politica,Farandula;4
Ilda O'Hara;Santa Marta;763-42-4857;F;1;19;Tecnico;Politica;1
Bettina Marquardt I;Santa Marta;712-19-8739;M;4;46;Profesional;Politica;1
Francina Satterfield;Cartagena;005-48-6206;F;4;49;Profesional;;0
Alene Pouros;Barranquilla;854-85-8699;F;5;24;Profesional;Farandula;4
Ferne Lakin;Barranquilla;172-98-6437;M;3;45;Profesional;Politica;5
Dion Cartwright;Santa Marta;315-67-7747;F;2;23;Profesional;Politica,Cientifica;4
Donn Ledner;Santa Marta;664-38-4442;M;3;18;Profesional;;0
Santina Macejkovic;Santa Marta;662-45-1620;M;1;15;Colegio;Cientifica,Economica,Politica,Farandula;1
Rep. Margarett Harber;Cartagena;405-80-3704;F;4;20;Profesional;Economica,Politica;1
Stephan Heller;Cartagena;896-61-7373;M;5;17;Tecnico;Cientifica,Economica;1
America Botsford;Cartagena;642-69-1637;F;2;37;Tecnico;Economica,Politica,Farandula;6
Conception Nienow;Barranquilla;391-05-5504;M;4;38;Profesional;Economica;5
Amb. Annamae Rath;Santa Marta;012-95-0571;F;6;14;Colegio;Farandula,Economica,Cientifica,Politica;1
Melaine Barrows;Santa Marta;086-83-9391;F;2;32;Profesional;Economica,Politica,Cientifica,Farandula;4
Willette Macejkovic;Cartagena;755-79-4258;F;2;40;Tecnico;Farandula;4
Malisa Runolfsdottir;Santa Marta;608-50-7094;F;4;35;Profesional;Economica,Politica;4
Sherlene Thompson Jr.;Santa Marta;095-13-6556;M;6;42;Profesional;Farandula,Politica,Economica,Cientifica;6
Prof. Roman Bernhard;Cartagena;461-12-8112;F;1;24;Tecnico;Cientifica,Farandula;5
Azucena West;Barranquilla;024-52-2073;M;6;15;Colegio;;0
Lore Willms;Santa Marta;466-04-4240;M;1;26;Tecnico;Farandula;5
Mr. Laverne Brown;Santa Marta;025-26-3633;F;5;17;Profesional;Economica,Cientifica,Politica;1
Patricia Reichel MD;Cartagena;236-94-4442;M;1;29;Tecnico;Farandula,Cientifica,Politica,Economica;6
Jason Robel;Santa Marta;064-83-0951;F;4;42;Profesional doctorado;Farandula,Politica,Economica;6
Lucrecia Keebler;Santa Marta;144-90-9741;F;6;49;Tecnico;;0
